spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_trinitatis;spspa;enseada;3;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;65;52;na;195;3;27,8;na;2;0;0,1;0;0;0,3;0;0;1,5;0;0;0;0;0;0;0;0;0;0;34;35,9
ophioblennius_trinitatis;spspa;enseada;4;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;93;70;na;189;2,03226;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;5;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;82;61;na;220;2,68293;27,8;na;3;0;0,1;0;0;0,1;0;0;3,4;0;0,1;0;0;1;0;0;0;0;0;80;84,7
ophioblennius_trinitatis;spspa;enseada;6;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;60;46;na;135;2,25;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;7;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;100;79;na;185;1,85;27,8;na;2;0;0;0;0;0;1;0;0;0;0;0,5;0;0,3;0;0;0,3;0;0;32;34,1
ophioblennius_trinitatis;spspa;enseada;8;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;85;66;na;210;2,47059;27,8;na;4;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,03;48,38
ophioblennius_trinitatis;spspa;enseada;9;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;71;56;na;na;na;27,8;na;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
ophioblennius_trinitatis;spspa;enseada;10;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;80;62;na;160;2;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;11;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;61;48;na;105;1,72131;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;12;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;87;69;na;na;na;27,8;na;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;83;84
